Classifier,Dataset,Sampling,Auc,Kappa,Tue_Negative,True_Positive,False_Negative,False_positive,Precision,Recall,Perc_Train_Total,Num_Training_Release,Snoring_Class
RandomForest,BOOKKEEPER,None,0.8751351621946336,0.35831862550877086,1018.0,0.0,0.0,0.0,0.9363636363636364,0.9074889867841409,6.666666666666667,1,-62
RandomForest,BOOKKEEPER,Under Sampling,0.8773127753303964,0.3910250510776933,1018.0,0.0,0.0,0.0,0.9390519187358917,0.9162995594713657,6.666666666666667,1,-62
RandomForest,BOOKKEEPER,Over Sampling,0.8886513816579896,0.3413026023709441,1018.0,0.0,0.0,0.0,0.9316909294512878,0.9162995594713657,6.666666666666667,1,-62
RandomForest,BOOKKEEPER,SMOTE,0.8849819783740489,0.3699166490917592,1018.0,0.0,0.0,0.0,0.9367231638418079,0.9129955947136564,6.666666666666667,1,-62
NaiveBayes,BOOKKEEPER,None,0.8428564277132559,0.257642403500311,1018.0,0.0,0.0,0.0,0.951856946354883,0.762114537444934,6.666666666666667,1,-62
NaiveBayes,BOOKKEEPER,Under Sampling,0.8428564277132559,0.257642403500311,1018.0,0.0,0.0,0.0,0.951856946354883,0.762114537444934,6.666666666666667,1,-62
NaiveBayes,BOOKKEEPER,Over Sampling,0.8420804965959151,0.18983285184537205,1018.0,0.0,0.0,0.0,0.968476357267951,0.6090308370044053,6.666666666666667,1,-62
NaiveBayes,BOOKKEEPER,SMOTE,0.8471615939126952,0.37600766756071996,1018.0,0.0,0.0,0.0,0.9524969549330086,0.8612334801762115,6.666666666666667,1,-62
IBk,BOOKKEEPER,None,0.8163696435722867,0.3407305068646923,1018.0,0.0,0.0,0.0,0.9564660691421255,0.8226872246696035,6.666666666666667,1,-62
IBk,BOOKKEEPER,Under Sampling,0.8163696435722867,0.3407305068646923,1018.0,0.0,0.0,0.0,0.9564660691421255,0.8226872246696035,6.666666666666667,1,-62
IBk,BOOKKEEPER,Over Sampling,0.7983279935923108,0.29362136442737674,1018.0,0.0,0.0,0.0,0.9400244798041616,0.8458149779735683,6.666666666666667,1,-62
