@relation Training.arff

@attribute Loc numeric 
@attribute Revision numeric 
@attribute Author_Number numeric 
@attribute Bug_Fix numeric 
@attribute Age_class numeric 
@attribute Churn numeric 
@attribute Loc_Added numeric 
@attribute ChgSetSize numeric 
@attribute Loc_Touched numeric 
@attribute Loc_Weighted_Methods numeric 
@attribute Variance_Loc_Added numeric 
@attribute Buggy{NO,YES} 

@data
2,1,40,1,2088,34,34,863,34,2.0,0.0,NO
2,1,40,1,2088,39,39,863,39,2.0,0.0,NO
3,1,40,1,2088,37,37,863,37,3.0,0.0,NO
12,1,40,1,2088,80,80,863,80,12.0,0.0,NO
3,1,40,1,2088,29,29,863,29,3.0,0.0,NO
36,4,41,4,2092,666,682,907,705,36.0,20691.50617283951,NO
24,3,41,3,2095,300,302,882,304,24.0,6972.1875,NO
13,2,41,2,2091,89,90,877,92,13.0,1936.0,NO
11,1,41,1,2088,58,58,863,58,11.0,0.0,NO
8,2,41,2,2091,44,45,877,47,8.0,462.25,NO
3,1,41,1,2088,28,28,863,28,3.0,0.0,NO
3,2,41,2,2091,30,32,877,36,3.0,150.8888888888889,NO
9,2,41,2,2091,44,50,877,57,9.0,522.8888888888888,NO
16,3,41,3,2095,105,112,895,122,16.0,1789.4399999999998,NO
15,3,41,3,2095,115,122,895,134,15.0,1256.4375,NO
5,2,41,2,2094,83,86,887,90,5.0,1302.25,NO
6,1,41,1,2088,54,54,863,54,6.0,0.0,NO
8,1,41,1,2088,78,78,863,78,8.0,0.0,NO
11,2,41,2,2090,66,87,879,112,11.0,723.109375,NO
11,2,41,2,2088,78,79,873,81,11.0,1482.25,NO
7,1,41,1,2088,77,77,863,77,7.0,0.0,NO
12,3,41,3,2089,65,83,877,103,12.0,796.9795918367347,NO
18,2,42,2,2092,104,150,878,201,18.0,1902.0,NO
12,2,42,2,2092,73,111,878,155,12.0,918.2222222222222,NO
4,2,42,2,2088,819,821,873,825,4.0,1363.2430555555554,NO
6,2,42,2,2092,75,89,878,103,6.0,573.1875,NO
14,3,43,3,2095,80,87,878,94,14.0,1419.1875,NO
7,5,43,5,2092,104,115,923,133,7.0,1097.234375,NO
17,6,43,6,2089,234,366,916,526,17.0,760.4266666666667,NO
30,10,45,10,2092,228,384,946,560,30.0,3329.685950413223,NO
9,6,45,6,2089,94,105,916,125,9.0,629.7633136094674,NO
69,10,46,10,2091,214,431,935,661,69.0,3716.540858725761,NO
12,5,46,5,2092,141,150,923,166,12.0,2065.9375,NO
5,1,46,1,2088,54,54,863,54,5.0,0.0,NO
26,1,46,1,2088,353,353,863,353,26.0,4080.222222222222,NO
13,1,46,1,2088,121,121,863,121,13.0,0.0,NO
14,1,46,1,2088,107,107,863,107,14.0,0.0,NO
8,1,46,1,2088,154,154,863,154,8.0,9.0,NO
